Time, A_B_binding,
0.0,0,
0.001000000000002041,1591,
0.002000009999996102,1648,
0.0030000099999901633,1655,
0.0040000099999842244,1671,
0.005000009999978286,1677,
0.006000009999972347,1669,
0.007000009999966408,1642,
0.00800000999996047,1668,
0.00900000999995453,1638,
0.010000009999948592,1689,
0.011000009999942653,1612,
0.012000009999936714,1707,
0.013000009999930775,1630,
0.014000009999924836,1704,
0.015000009999918898,1641,
0.016000009999978013,1694,
0.017000000000145545,1634,
0.018000000000313078,1685,
0.01900000000048061,1649,
0.020000000000648145,1669,
0.02100000000081568,1665,
0.022000000000983212,1680,
0.023000000001150746,1655,
0.02400000000131828,1605,
0.025000000001485813,1619,
0.026000000001653346,1625,
0.02700000000182088,1663,
0.028000000001988413,1682,
0.029000000002155947,1689,
0.03000000000232348,1663,
0.031000000002491014,1721,
0.03200000000265855,1632,
0.03300000000282608,1636,
0.034000000002993615,1667,
0.03500000000316115,1637,
0.03600000000332868,1693,
0.037000000003496215,1637,
0.03800000000366375,1660,
0.03900000000383128,1653,
0.040000000003998816,1622,
